"ADAG","Adagene Inc.","Biotechnology","120.86M"
"ADAP","Adaptimmune Therapeutics plc","Biotechnology","298.93M"
"ADBE","Adobe Inc.","Software - Infrastructure","233.30B"
"ADC","Agree Realty Corporation","REIT - Retail","7.19B"
"ADCT","ADC Therapeutics SA","Biotechnology","277.13M"
"ADD","Color Star Technology Co., Ltd.","Entertainment","14.79M"
"ADEA","Adeia Inc.","Software - Application","1.14B"
"ADGM","Adagio Medical Holdings Inc.","Shell Companies","50.04M"
"ADI","Analog Devices, Inc.","Semiconductors","103.19B"
"ADIL","Adial Pharmaceuticals, Inc.","Biotechnology","4.28M"
"ADM","Archer-Daniels-Midland Company","Farm Products","28.17B"
"ADMA","ADMA Biologics, Inc.","Biotechnology","2.71B"
"ADN","Advent Technologies Holdings, Inc.","Utilities - Renewable","11.38M"
"ADNT","Adient plc","Auto Parts","2.12B"
"ADP","Automatic Data Processing, Inc.","Staffing & Employment Services","107.86B"
"ADPT","Adaptive Biotechnologies Corporation","Biotechnology","633.68M"
"ADRT","Ault Disruptive Technologies Corporation","Shell Companies","40.60M"
"ADSE","ADS-TEC Energy PLC","Electrical Equipment & Parts","650.52M"
"ADSK","Autodesk, Inc.","Software - Application","49.86B"
"ADT","ADT Inc.","Security & Protection Services","5.93B"
"ADTN","ADTRAN Holdings, Inc.","Communication Equipment","481.03M"
"ADTX","Aditxt, Inc.","Biotechnology","2.07M"
"ADUS","Addus HomeCare Corporation","Medical Care Facilities","2.15B"
"ADV","Advantage Solutions Inc.","Advertising Agencies","1.18B"
"ADVM","Adverum Biotechnologies, Inc.","Biotechnology","148.41M"
"ADXN","Addex Therapeutics Ltd","Biotechnology","13.33M"
"AE","Adams Resources & Energy, Inc.","Oil & Gas Refining & Marketing","68.03M"
"AEAE","AltEnergy Acquisition Corp.","Shell Companies","73.61M"
"AEE","Ameren Corporation","Utilities - Regulated Electric","22.01B"
"AEG","Aegon Ltd.","Insurance - Diversified","9.91B"
"AEHL","Antelope Enterprise Holdings Limited","Building Products & Equipment","44.09M"
"AEHR","Aehr Test Systems, Inc.","Semiconductor Equipment & Materials","417.42M"
"AEI","Alset EHome International Inc.","Real Estate - Development","8.68M"
"AEIS","Advanced Energy Industries, Inc.","Electrical Equipment & Parts","3.83B"
"AEM","Agnico Eagle Mines Limited","Gold","37.42B"
"AEMD","Aethlon Medical, Inc.","Medical Devices","4.00M"
"AENT","Alliance Entertainment Holding Corporation","Entertainment","83.03M"
"AEO","American Eagle Outfitters, Inc.","Apparel Retail","3.94B"
"AEON","AEON Biopharma, Inc.","Biotechnology","41.50M"
"AEP","American Electric Power Company, Inc.","Utilities - Regulated Electric","54.16B"
"AER","AerCap Holdings N.V.","Rental & Leasing Services","18.20B"
